test_location,lang_group,part_id,study,gender,order,age_days,keeper,keeper_reason,child_dom_lang,lang_per_en,lang_per_fr,lang_per_sp,lang_per_ot,study_dom,lang_per_dom,lang_per_ndom,lang_mix_score,coding_missing,meanLT,n_trials,mean_lt_pP,s_ID_long,n_trials_prior_exclusion,mean_lt_prior_exclusion,keeper_pre_data_analysis
NewJersey,bilingual,P02,1,female,E1,321,1,NA,Spanish,44,NA,56,NA,non-dominant,56,44,25,NA,7.34,16,7.34375,SingleMix_NJ_S01,16,7.34375,1
NewJersey,bilingual,P58,1,female,E2,380,1,NA,Spanish,45,NA,55,NA,non-dominant,55,45,19,NA,8.09,16,7.311875,SingleMix_NJ_S02,16,7.311875,1
NewJersey,bilingual,P65,1,female,S1,352,1,NA,English,73,NA,27,NA,non-dominant,73,27,20,NA,7.7,16,7.70125,SingleMix_NJ_S03,16,7.70125,1
NewJersey,bilingual,P41,1,female,S2,244,1,NA,English,53,NA,47,NA,non-dominant,53,47,8,NA,5.15,16,3.67,SingleMix_NJ_S04,16,3.67,1
NewJersey,bilingual,P63,1,male,E3,381,1,NA,English,54,NA,46,NA,dominant,54,46,18,1,8.42,16,7.529375,SingleMix_NJ_S05,16,7.529375,1
NewJersey,other,P45,1,female,E4,383,0,language,Spanish,24,NA,76,NA,non-dominant,76,24,NA,1,NA,NA,NA,NA,NA,NA,0
NewJersey,other,P49,1,male,S3,265,0,language,Spanish,9,NA,91,NA,dominant,91,9,NA,1,NA,NA,NA,NA,NA,NA,0
NewJersey,other,P68,1,female,S4,262,0,language,Spanish,15,NA,85,NA,dominant,85,15,NA,1,NA,NA,NA,NA,NA,NA,0
NewJersey,bilingual,P62,1,female,E1,352,1,NA,Spanish,42,NA,58,NA,non-dominant,58,42,NA,1,7.84,10,7.843,SingleMix_NJ_S09,10,7.843,1
NewJersey,bilingual,P40,1,female,E2,264,1,NA,English,51,NA,49,NA,dominant,51,49,9,NA,8.2,16,8.201875,SingleMix_NJ_S10,16,8.201875,1
NewJersey,bilingual,P25,1,female,S1,248,0,NotEnoughGoodTrials,English,60,NA,40,NA,non-dominant,60,40,11,1,NA,14,4.2664285714285715,SingleMix_NJ_S11,14,4.2664285714285715,1
NewJersey,bilingual,P16,1,male,S2,257,0,health,Spanish,42,NA,58,NA,dominant,58,42,NA,1,NA,NA,NA,NA,NA,NA,0
Montreal,other,P10,1,female,E1,274,0,pilot,English,62,18,NA,20,dominant,62,18,11,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P06,1,male,E1,286,0,pilot,French,42,52,NA,6,non-dominant,52,42,25,1,NA,NA,NA,NA,NA,NA,0
Montreal,other,P11,1,male,F4,293,0,language,French,11,84,NA,6,dominant,84,11,5,1,NA,NA,NA,NA,NA,NA,0
Montreal,other,P46,1,female,E4,288,0,language,English,80,19,NA,1,dominant,80,19,12,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P60,1,female,E1,301,0,experimenterError,English,56,45,NA,0,dominant,56,45,14,1,NA,NA,NA,NA,NA,NA,1
Montreal,monolingual,P67,1,female,F4,260,1,NA,French,5,95,NA,0,dominant,95,5,2,NA,10.56,16,9.4725,SingleMix_S06_44965,16,9.4725,1
Montreal,monolingual,P57,1,male,F2,272,1,NA,French,0,100,NA,0,dominant,100,0,1,NA,7.57,16,7.5725,SingleMix_S07_45024,16,7.5725,1
Montreal,monolingual,P21,1,female,E3,273,1,NA,English,100,0,NA,0,dominant,100,0,1,NA,8.46,16,6.27,SingleMix_S08_44924,16,6.27,1
Montreal,other,P50,1,male,E4,271,0,language,English,88,8,NA,5,dominant,88,8,15,1,NA,NA,NA,NA,NA,NA,0
Montreal,monolingual,P66,1,female,F1,285,1,NA,French,1,99,NA,0,dominant,99,1,4,NA,6.51,16,6.5112499999999995,SingleMix_S10_44928,16,6.5112499999999995,1
Montreal,monolingual,P08,1,female,F3,269,1,NA,French,0,100,NA,0,dominant,100,0,8,NA,9.27,16,8.82875,SingleMix_S11_44937,16,8.82875,1
Montreal,monolingual,P56,1,female,F4,266,1,NA,French,0,98,NA,3,dominant,98,0,1,NA,8.9,16,7.9275,SingleMix_S12_44942,16,7.9275,1
Montreal,monolingual,P05,1,female,E4,267,0,experimenterError,English,100,0,NA,0,dominant,100,0,0,1,NA,NA,NA,NA,NA,NA,1
Montreal,other,P32,1,female,F2,271,0,language,French,16,84,NA,0,dominant,84,16,22,1,NA,NA,NA,NA,NA,NA,0
Montreal,monolingual,P24,1,female,F2,253,1,NA,French,0,100,NA,0,dominant,100,0,0,NA,6.96,11,6.96,SingleMix_S15_44853,13,6.96,1
Montreal,monolingual,P13,1,male,F4,244,1,NA,French,0,100,NA,0,dominant,100,0,2,NA,7.76,16,6.64,SingleMix_S16_44855,16,6.64,1
Montreal,monolingual,P54,1,male,E4,242,1,NA,English,91,10,NA,0,dominant,91,10,13,NA,7.47,16,5.76,SingleMix_S17_44843,16,5.76,1
Montreal,monolingual,P37,1,female,F3,288,0,NotEnoughGoodTrials,French,0,100,NA,0,dominant,100,0,2,NA,NA,16,4.904375,SingleMix_S18_45277,16,4.904375,1
Montreal,monolingual,P53,1,male,F1,272,1,NA,French,0,100,NA,0,dominant,100,0,5,NA,6.2,16,5.04,SingleMix_S19_45271,16,5.04,1
Montreal,other,P15,1,male,E2,298,0,language,English,88,10,NA,2,dominant,88,10,19,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P39,1,male,F4,269,1,NA,English,42,38,NA,20,non-dominant,42,38,21,NA,6.53,16,6.5325,SingleMix_S21_44768,16,6.5325,1
Montreal,monolingual,P14,1,female,F2,251,1,NA,French,0,100,NA,0,dominant,100,0,6,NA,10.94,16,10.37875,SingleMix_S22_44887,16,10.37875,1
Montreal,monolingual,P09,1,female,F1,251,1,NA,French,0,100,NA,0,dominant,100,0,10,NA,10.06,16,10.065,SingleMix_S23_45583,16,10.065,1
Montreal,bilingual,P04,1,male,E2,251,0,NotEnoughGoodTrials,English,69,26,NA,6,dominant,69,26,19,NA,NA,16,4.795625,SingleMix_S24_44078,16,4.795625,1
Montreal,bilingual,P35,1,male,E1,253,1,NA,French,43,57,NA,0,non-dominant,57,43,7,NA,12.34,8,12.3375,SingleMix_S25_44845,16,8.373125,1
Montreal,bilingual,P43,1,female,F3,302,1,NA,French,29,72,NA,0,dominant,72,29,19,NA,7.33,16,6.205625,SingleMix_S26_45278,16,6.205625,1
Montreal,other,P52,1,female,E3,279,0,language,French,23,77,NA,0,non-dominant,77,23,20,1,NA,NA,NA,NA,NA,NA,0
Montreal,bilingual,P28,1,male,E4,262,1,NA,French,26,74,NA,0,non-dominant,74,26,10,NA,9.93,16,9.926875,SingleMix_S28_45529,16,9.926875,1
Montreal,monolingual,P12,1,male,E2,265,1,NA,English,100,0,NA,0,dominant,100,0,11,NA,6.44,16,6.116875,SingleMix_S29_44835,16,6.116875,1
